______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'kernel_task', 'pid': 0, 'username': 'root'} 
{'name': 'launchd', 'pid': 1, 'username': 'root'} 
{'name': 'logd', 'pid': 301, 'username': 'root'} 
{'name': 'UserEventAgent', 'pid': 303, 'username': 'root'} 
{'name': 'uninstalld', 'pid': 305, 'username': 'root'} 
{'name': 'fseventsd', 'pid': 306, 'username': 'root'} 
{'name': 'mediaremoted', 'pid': 307, 'username': 'root'} 
{'name': 'systemstats', 'pid': 310, 'username': 'root'} 
{'name': 'configd', 'pid': 313, 'username': 'root'} 
{'name': 'powerd', 'pid': 315, 'username': 'root'} 
{'name': 'IOMFB_bics_daemo', 'pid': 316, 'username': 'root'} 
{'name': 'remoted', 'pid': 321, 'username': 'root'} 
{'name': 'watchdogd', 'pid': 326, 'username': 'root'} 
{'name': 'mds', 'pid': 330, 'username': 'root'} 
{'name': 'kernelmanagerd', 'pid': 332, 'username': 'root'} 
{'name': 'diskarbitrationd', 'pid': 333, 'username': 'root'} 
{'name': 'syslogd', 'pid': 337, 'username': 'root'} 
{'name': 'thermalmonitord', 'pid': 340, 'username': 'root'} 
{'name': 'opendirectoryd', 'pid': 341, 'username': 'root'} 
{'name': 'apsd', 'pid': 342, 'username': 'root'} 
{'name': 'httpd', 'pid': 343, 'username': 'root'} 
{'name': 'launchservicesd', 'pid': 344, 'username': 'root'} 
{'name': 'timed', 'pid': 345, 'username': '_timed'} 
{'name': 'usbmuxd', 'pid': 346, 'username': '_usbmuxd'} 
{'name': 'securityd', 'pid': 347, 'username': 'root'} 
{'name': 'locationd', 'pid': 349, 'username': '_locationd'} 
{'name': 'autofsd', 'pid': 351, 'username': 'root'} 
{'name': 'dasd', 'pid': 352, 'username': 'root'} 
{'name': 'distnoted', 'pid': 354, 'username': '_distnote'} 
{'name': 'logind', 'pid': 358, 'username': 'root'} 
{'name': 'revisiond', 'pid': 359, 'username': 'root'} 
{'name': 'KernelEventAgent', 'pid': 360, 'username': 'root'} 
{'name': 'bluetoothd', 'pid': 363, 'username': 'root'} 
{'name': 'notifyd', 'pid': 364, 'username': 'root'} 
{'name': 'corebrightnessd', 'pid': 366, 'username': 'root'} 
{'name': 'AirPlayXPCHelper', 'pid': 367, 'username': 'root'} 
{'name': 'com.apple.cmio.r', 'pid': 368, 'username': 'root'} 
{'name': 'analyticsd', 'pid': 369, 'username': '_analyticsd'} 
{'name': 'WindowServer', 'pid': 371, 'username': 'root'} 
{'name': 'cfprefsd', 'pid': 372, 'username': 'root'} 
{'name': 'loginwindow', 'pid': 379, 'username': 'root'} 
{'name': 'lsd', 'pid': 384, 'username': 'root'} 
{'name': 'runningboardd', 'pid': 387, 'username': 'root'} 
{'name': 'contextstored', 'pid': 389, 'username': 'root'} 
{'name': 'coreservicesd', 'pid': 390, 'username': 'root'} 
{'name': 'apfsd', 'pid': 399, 'username': 'root'} 
{'name': 'nsurlsessiond', 'pid': 400, 'username': '_nsurlsessiond'} 
{'name': 'airportd', 'pid': 401, 'username': 'root'} 
{'name': 'coreaudiod', 'pid': 405, 'username': '_coreaudiod'} 
{'name': 'distnoted', 'pid': 410, 'username': '_coreaudiod'} 
{'name': 'authd', 'pid': 414, 'username': 'root'} 
{'name': 'distnoted', 'pid': 416, 'username': 'root'} 
{'name': 'systemstatusd', 'pid': 433, 'username': 'root'} 
{'name': 'distnoted', 'pid': 453, 'username': '_windowserver'} 
{'name': 'mDNSResponder', 'pid': 454, 'username': '_mdnsresponder'} 
{'name': 'mDNSResponderHel', 'pid': 461, 'username': 'root'} 
{'name': 'distnoted', 'pid': 476, 'username': '_cmiodalassistants'} 
{'name': 'symptomsd', 'pid': 478, 'username': '_networkd'} 
{'name': 'mds_stores', 'pid': 520, 'username': 'root'} 
{'name': 'storagekitd', 'pid': 529, 'username': 'root'} 
{'name': 'syspolicyd', 'pid': 538, 'username': 'root'} 
{'name': 'appleeventsd', 'pid': 541, 'username': '_appleevents'} 
{'name': 'distnoted', 'pid': 544, 'username': '_locationd'} 
{'name': 'distnoted', 'pid': 558, 'username': '_softwareupdate'} 
{'name': 'appleh13camerad', 'pid': 563, 'username': '_cmiodalassistants'} 
{'name': 'UVCAssistant', 'pid': 564, 'username': '_cmiodalassistants'} 
{'name': 'searchpartyd', 'pid': 567, 'username': 'root'} 
{'name': 'com.apple.Driver', 'pid': 570, 'username': '_driverkit'} 
{'name': 'audioclocksyncd', 'pid': 572, 'username': 'root'} 
{'name': 'com.apple.AppleU', 'pid': 573, 'username': '_driverkit'} 
{'name': 'securityd_servic', 'pid': 584, 'username': 'root'} 
{'name': 'distnoted', 'pid': 586, 'username': '_spotlight'} 
{'name': 'wifianalyticsd', 'pid': 587, 'username': 'root'} 
{'name': 'distnoted', 'pid': 588, 'username': '_nsurlsessiond'} 
{'name': 'distnoted', 'pid': 591, 'username': 'shubhamwalhekar'} 
{'name': 'UserEventAgent', 'pid': 593, 'username': 'shubhamwalhekar'} 
{'name': 'lsd', 'pid': 599, 'username': 'shubhamwalhekar'} 
{'name': 'lockoutagent', 'pid': 602, 'username': 'shubhamwalhekar'} 
{'name': 'nsurlsessiond', 'pid': 604, 'username': 'shubhamwalhekar'} 
{'name': 'rapportd', 'pid': 605, 'username': 'shubhamwalhekar'} 
{'name': 'usernoted', 'pid': 606, 'username': 'shubhamwalhekar'} 
{'name': 'usernotificationsd', 'pid': 617, 'username': 'shubhamwalhekar'} 
{'name': 'universalaccessd', 'pid': 618, 'username': 'shubhamwalhekar'} 
{'name': 'identityservicesd', 'pid': 620, 'username': 'shubhamwalhekar'} 
{'name': 'pboard', 'pid': 621, 'username': 'shubhamwalhekar'} 
{'name': 'NotificationCenter', 'pid': 622, 'username': 'shubhamwalhekar'} 
{'name': 'WindowManager', 'pid': 623, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome', 'pid': 624, 'username': 'shubhamwalhekar'} 
{'name': 'distnoted', 'pid': 633, 'username': '_appleevents'} 
{'name': 'Electron', 'pid': 635, 'username': 'shubhamwalhekar'} 
{'name': 'iTerm2', 'pid': 639, 'username': 'shubhamwalhekar'} 
{'name': 'sharedfilelistd', 'pid': 642, 'username': 'shubhamwalhekar'} 
{'name': 'Dock', 'pid': 645, 'username': 'shubhamwalhekar'} 
{'name': 'ContinuityCaptureAgent', 'pid': 647, 'username': 'shubhamwalhekar'} 
