______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:28:32 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'pid': 0, 'username': 'root', 'name': 'kernel_task'} 
{'pid': 1, 'username': 'root', 'name': 'launchd'} 
{'pid': 301, 'username': 'root', 'name': 'logd'} 
{'pid': 303, 'username': 'root', 'name': 'UserEventAgent'} 
{'pid': 305, 'username': 'root', 'name': 'uninstalld'} 
{'pid': 306, 'username': 'root', 'name': 'fseventsd'} 
{'pid': 307, 'username': 'root', 'name': 'mediaremoted'} 
{'pid': 310, 'username': 'root', 'name': 'systemstats'} 
{'pid': 313, 'username': 'root', 'name': 'configd'} 
{'pid': 315, 'username': 'root', 'name': 'powerd'} 
{'pid': 316, 'username': 'root', 'name': 'IOMFB_bics_daemo'} 
{'pid': 321, 'username': 'root', 'name': 'remoted'} 
{'pid': 326, 'username': 'root', 'name': 'watchdogd'} 
{'pid': 330, 'username': 'root', 'name': 'mds'} 
{'pid': 332, 'username': 'root', 'name': 'kernelmanagerd'} 
{'pid': 333, 'username': 'root', 'name': 'diskarbitrationd'} 
{'pid': 337, 'username': 'root', 'name': 'syslogd'} 
{'pid': 340, 'username': 'root', 'name': 'thermalmonitord'} 
{'pid': 341, 'username': 'root', 'name': 'opendirectoryd'} 
{'pid': 342, 'username': 'root', 'name': 'apsd'} 
{'pid': 343, 'username': 'root', 'name': 'httpd'} 
{'pid': 344, 'username': 'root', 'name': 'launchservicesd'} 
{'pid': 345, 'username': '_timed', 'name': 'timed'} 
{'pid': 346, 'username': '_usbmuxd', 'name': 'usbmuxd'} 
{'pid': 347, 'username': 'root', 'name': 'securityd'} 
{'pid': 349, 'username': '_locationd', 'name': 'locationd'} 
{'pid': 351, 'username': 'root', 'name': 'autofsd'} 
{'pid': 352, 'username': 'root', 'name': 'dasd'} 
{'pid': 354, 'username': '_distnote', 'name': 'distnoted'} 
{'pid': 358, 'username': 'root', 'name': 'logind'} 
{'pid': 359, 'username': 'root', 'name': 'revisiond'} 
{'pid': 360, 'username': 'root', 'name': 'KernelEventAgent'} 
{'pid': 363, 'username': 'root', 'name': 'bluetoothd'} 
{'pid': 364, 'username': 'root', 'name': 'notifyd'} 
{'pid': 366, 'username': 'root', 'name': 'corebrightnessd'} 
{'pid': 367, 'username': 'root', 'name': 'AirPlayXPCHelper'} 
{'pid': 368, 'username': 'root', 'name': 'com.apple.cmio.r'} 
{'pid': 369, 'username': '_analyticsd', 'name': 'analyticsd'} 
{'pid': 371, 'username': 'root', 'name': 'WindowServer'} 
{'pid': 372, 'username': 'root', 'name': 'cfprefsd'} 
{'pid': 379, 'username': 'root', 'name': 'loginwindow'} 
{'pid': 384, 'username': 'root', 'name': 'lsd'} 
{'pid': 387, 'username': 'root', 'name': 'runningboardd'} 
{'pid': 389, 'username': 'root', 'name': 'contextstored'} 
{'pid': 390, 'username': 'root', 'name': 'coreservicesd'} 
{'pid': 399, 'username': 'root', 'name': 'apfsd'} 
{'pid': 400, 'username': '_nsurlsessiond', 'name': 'nsurlsessiond'} 
{'pid': 401, 'username': 'root', 'name': 'airportd'} 
{'pid': 405, 'username': '_coreaudiod', 'name': 'coreaudiod'} 
{'pid': 410, 'username': '_coreaudiod', 'name': 'distnoted'} 
{'pid': 414, 'username': 'root', 'name': 'authd'} 
{'pid': 416, 'username': 'root', 'name': 'distnoted'} 
{'pid': 433, 'username': 'root', 'name': 'systemstatusd'} 
{'pid': 453, 'username': '_windowserver', 'name': 'distnoted'} 
{'pid': 454, 'username': '_mdnsresponder', 'name': 'mDNSResponder'} 
{'pid': 461, 'username': 'root', 'name': 'mDNSResponderHel'} 
{'pid': 476, 'username': '_cmiodalassistants', 'name': 'distnoted'} 
{'pid': 478, 'username': '_networkd', 'name': 'symptomsd'} 
{'pid': 520, 'username': 'root', 'name': 'mds_stores'} 
{'pid': 529, 'username': 'root', 'name': 'storagekitd'} 
{'pid': 538, 'username': 'root', 'name': 'syspolicyd'} 
{'pid': 541, 'username': '_appleevents', 'name': 'appleeventsd'} 
{'pid': 544, 'username': '_locationd', 'name': 'distnoted'} 
{'pid': 558, 'username': '_softwareupdate', 'name': 'distnoted'} 
{'pid': 563, 'username': '_cmiodalassistants', 'name': 'appleh13camerad'} 
{'pid': 564, 'username': '_cmiodalassistants', 'name': 'UVCAssistant'} 
{'pid': 567, 'username': 'root', 'name': 'searchpartyd'} 
{'pid': 570, 'username': '_driverkit', 'name': 'com.apple.Driver'} 
{'pid': 572, 'username': 'root', 'name': 'audioclocksyncd'} 
{'pid': 573, 'username': '_driverkit', 'name': 'com.apple.AppleU'} 
{'pid': 584, 'username': 'root', 'name': 'securityd_servic'} 
{'pid': 586, 'username': '_spotlight', 'name': 'distnoted'} 
{'pid': 587, 'username': 'root', 'name': 'wifianalyticsd'} 
{'pid': 588, 'username': '_nsurlsessiond', 'name': 'distnoted'} 
{'pid': 591, 'username': 'shubhamwalhekar', 'name': 'distnoted'} 
{'pid': 593, 'username': 'shubhamwalhekar', 'name': 'UserEventAgent'} 
{'pid': 599, 'username': 'shubhamwalhekar', 'name': 'lsd'} 
{'pid': 602, 'username': 'shubhamwalhekar', 'name': 'lockoutagent'} 
{'pid': 604, 'username': 'shubhamwalhekar', 'name': 'nsurlsessiond'} 
{'pid': 605, 'username': 'shubhamwalhekar', 'name': 'rapportd'} 
{'pid': 606, 'username': 'shubhamwalhekar', 'name': 'usernoted'} 
{'pid': 617, 'username': 'shubhamwalhekar', 'name': 'usernotificationsd'} 
{'pid': 618, 'username': 'shubhamwalhekar', 'name': 'universalaccessd'} 
{'pid': 620, 'username': 'shubhamwalhekar', 'name': 'identityservicesd'} 
{'pid': 621, 'username': 'shubhamwalhekar', 'name': 'pboard'} 
{'pid': 622, 'username': 'shubhamwalhekar', 'name': 'NotificationCenter'} 
{'pid': 623, 'username': 'shubhamwalhekar', 'name': 'WindowManager'} 
{'pid': 624, 'username': 'shubhamwalhekar', 'name': 'Google Chrome'} 
{'pid': 633, 'username': '_appleevents', 'name': 'distnoted'} 
{'pid': 635, 'username': 'shubhamwalhekar', 'name': 'Electron'} 
{'pid': 639, 'username': 'shubhamwalhekar', 'name': 'iTerm2'} 
{'pid': 642, 'username': 'shubhamwalhekar', 'name': 'sharedfilelistd'} 
{'pid': 645, 'username': 'shubhamwalhekar', 'name': 'Dock'} 
{'pid': 647, 'username': 'shubhamwalhekar', 'name': 'ContinuityCaptureAgent'} 
