______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:45:18 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'pid': 0, 'name': 'kernel_task', 'username': 'root'} 
{'pid': 1, 'name': 'launchd', 'username': 'root'} 
{'pid': 301, 'name': 'logd', 'username': 'root'} 
{'pid': 303, 'name': 'UserEventAgent', 'username': 'root'} 
{'pid': 305, 'name': 'uninstalld', 'username': 'root'} 
{'pid': 306, 'name': 'fseventsd', 'username': 'root'} 
{'pid': 307, 'name': 'mediaremoted', 'username': 'root'} 
{'pid': 310, 'name': 'systemstats', 'username': 'root'} 
{'pid': 313, 'name': 'configd', 'username': 'root'} 
{'pid': 315, 'name': 'powerd', 'username': 'root'} 
{'pid': 316, 'name': 'IOMFB_bics_daemo', 'username': 'root'} 
{'pid': 321, 'name': 'remoted', 'username': 'root'} 
{'pid': 326, 'name': 'watchdogd', 'username': 'root'} 
{'pid': 330, 'name': 'mds', 'username': 'root'} 
{'pid': 332, 'name': 'kernelmanagerd', 'username': 'root'} 
{'pid': 333, 'name': 'diskarbitrationd', 'username': 'root'} 
{'pid': 337, 'name': 'syslogd', 'username': 'root'} 
{'pid': 340, 'name': 'thermalmonitord', 'username': 'root'} 
{'pid': 341, 'name': 'opendirectoryd', 'username': 'root'} 
{'pid': 342, 'name': 'apsd', 'username': 'root'} 
{'pid': 343, 'name': 'httpd', 'username': 'root'} 
{'pid': 344, 'name': 'launchservicesd', 'username': 'root'} 
{'pid': 345, 'name': 'timed', 'username': '_timed'} 
{'pid': 346, 'name': 'usbmuxd', 'username': '_usbmuxd'} 
{'pid': 347, 'name': 'securityd', 'username': 'root'} 
{'pid': 349, 'name': 'locationd', 'username': '_locationd'} 
{'pid': 351, 'name': 'autofsd', 'username': 'root'} 
{'pid': 352, 'name': 'dasd', 'username': 'root'} 
{'pid': 354, 'name': 'distnoted', 'username': '_distnote'} 
{'pid': 358, 'name': 'logind', 'username': 'root'} 
{'pid': 359, 'name': 'revisiond', 'username': 'root'} 
{'pid': 360, 'name': 'KernelEventAgent', 'username': 'root'} 
{'pid': 363, 'name': 'bluetoothd', 'username': 'root'} 
{'pid': 364, 'name': 'notifyd', 'username': 'root'} 
{'pid': 366, 'name': 'corebrightnessd', 'username': 'root'} 
{'pid': 367, 'name': 'AirPlayXPCHelper', 'username': 'root'} 
{'pid': 368, 'name': 'com.apple.cmio.r', 'username': 'root'} 
{'pid': 369, 'name': 'analyticsd', 'username': '_analyticsd'} 
{'pid': 371, 'name': 'WindowServer', 'username': 'root'} 
{'pid': 372, 'name': 'cfprefsd', 'username': 'root'} 
{'pid': 379, 'name': 'loginwindow', 'username': 'root'} 
{'pid': 384, 'name': 'lsd', 'username': 'root'} 
{'pid': 387, 'name': 'runningboardd', 'username': 'root'} 
{'pid': 389, 'name': 'contextstored', 'username': 'root'} 
{'pid': 390, 'name': 'coreservicesd', 'username': 'root'} 
{'pid': 399, 'name': 'apfsd', 'username': 'root'} 
{'pid': 400, 'name': 'nsurlsessiond', 'username': '_nsurlsessiond'} 
{'pid': 401, 'name': 'airportd', 'username': 'root'} 
{'pid': 405, 'name': 'coreaudiod', 'username': '_coreaudiod'} 
{'pid': 410, 'name': 'distnoted', 'username': '_coreaudiod'} 
{'pid': 414, 'name': 'authd', 'username': 'root'} 
{'pid': 416, 'name': 'distnoted', 'username': 'root'} 
{'pid': 433, 'name': 'systemstatusd', 'username': 'root'} 
{'pid': 453, 'name': 'distnoted', 'username': '_windowserver'} 
{'pid': 454, 'name': 'mDNSResponder', 'username': '_mdnsresponder'} 
{'pid': 461, 'name': 'mDNSResponderHel', 'username': 'root'} 
{'pid': 476, 'name': 'distnoted', 'username': '_cmiodalassistants'} 
{'pid': 478, 'name': 'symptomsd', 'username': '_networkd'} 
{'pid': 520, 'name': 'mds_stores', 'username': 'root'} 
{'pid': 529, 'name': 'storagekitd', 'username': 'root'} 
{'pid': 538, 'name': 'syspolicyd', 'username': 'root'} 
{'pid': 541, 'name': 'appleeventsd', 'username': '_appleevents'} 
{'pid': 544, 'name': 'distnoted', 'username': '_locationd'} 
{'pid': 558, 'name': 'distnoted', 'username': '_softwareupdate'} 
{'pid': 563, 'name': 'appleh13camerad', 'username': '_cmiodalassistants'} 
{'pid': 564, 'name': 'UVCAssistant', 'username': '_cmiodalassistants'} 
{'pid': 567, 'name': 'searchpartyd', 'username': 'root'} 
{'pid': 570, 'name': 'com.apple.Driver', 'username': '_driverkit'} 
{'pid': 572, 'name': 'audioclocksyncd', 'username': 'root'} 
{'pid': 573, 'name': 'com.apple.AppleU', 'username': '_driverkit'} 
{'pid': 584, 'name': 'securityd_servic', 'username': 'root'} 
{'pid': 586, 'name': 'distnoted', 'username': '_spotlight'} 
{'pid': 587, 'name': 'wifianalyticsd', 'username': 'root'} 
{'pid': 588, 'name': 'distnoted', 'username': '_nsurlsessiond'} 
{'pid': 591, 'name': 'distnoted', 'username': 'shubhamwalhekar'} 
{'pid': 593, 'name': 'UserEventAgent', 'username': 'shubhamwalhekar'} 
{'pid': 599, 'name': 'lsd', 'username': 'shubhamwalhekar'} 
{'pid': 602, 'name': 'lockoutagent', 'username': 'shubhamwalhekar'} 
{'pid': 604, 'name': 'nsurlsessiond', 'username': 'shubhamwalhekar'} 
{'pid': 605, 'name': 'rapportd', 'username': 'shubhamwalhekar'} 
{'pid': 606, 'name': 'usernoted', 'username': 'shubhamwalhekar'} 
{'pid': 617, 'name': 'usernotificationsd', 'username': 'shubhamwalhekar'} 
{'pid': 618, 'name': 'universalaccessd', 'username': 'shubhamwalhekar'} 
{'pid': 620, 'name': 'identityservicesd', 'username': 'shubhamwalhekar'} 
{'pid': 621, 'name': 'pboard', 'username': 'shubhamwalhekar'} 
{'pid': 622, 'name': 'NotificationCenter', 'username': 'shubhamwalhekar'} 
{'pid': 623, 'name': 'WindowManager', 'username': 'shubhamwalhekar'} 
{'pid': 624, 'name': 'Google Chrome', 'username': 'shubhamwalhekar'} 
{'pid': 633, 'name': 'distnoted', 'username': '_appleevents'} 
{'pid': 635, 'name': 'Electron', 'username': 'shubhamwalhekar'} 
{'pid': 639, 'name': 'iTerm2', 'username': 'shubhamwalhekar'} 
{'pid': 642, 'name': 'sharedfilelistd', 'username': 'shubhamwalhekar'} 
{'pid': 645, 'name': 'Dock', 'username': 'shubhamwalhekar'} 
{'pid': 647, 'name': 'ContinuityCaptureAgent', 'username': 'shubhamwalhekar'} 
{'pid': 648, 'name': 'ControlCenter', 'username': 'shubhamwalhekar'} 
{'pid': 649, 'name': 'SystemUIServer', 'username': 'shubhamwalhekar'} 
{'pid': 650, 'name': 'Finder', 'username': 'shubhamwalhekar'} 
{'pid': 652, 'name': 'fontd', 'username': 'shubhamwalhekar'} 
{'pid': 655, 'name': 'WallpaperAgent', 'username': 'shubhamwalhekar'} 
{'pid': 658, 'name': 'awdd', 'username': 'root'} 
{'pid': 659, 'name': 'Spotlight', 'username': 'shubhamwalhekar'} 
{'pid': 660, 'name': 'filecoordination', 'username': 'root'} 
{'pid': 662, 'name': 'fontworker', 'username': 'shubhamwalhekar'} 
{'pid': 668, 'name': 'automountd', 'username': 'root'} 
{'pid': 671, 'name': 'AMPDeviceDiscoveryAgent', 'username': 'shubhamwalhekar'} 
{'pid': 673, 'name': 'corespotlightd', 'username': 'shubhamwalhekar'} 
{'pid': 675, 'name': 'ACCFinderSync', 'username': 'shubhamwalhekar'} 
{'pid': 683, 'name': 'sharingd', 'username': 'shubhamwalhekar'} 
{'pid': 688, 'name': 'nearbyd', 'username': '_nearbyd'} 
{'pid': 690, 'name': 'WallpaperVideoExtension', 'username': 'shubhamwalhekar'} 
{'pid': 692, 'name': 'commerce', 'username': 'shubhamwalhekar'} 
{'pid': 694, 'name': 'WiFiAgent', 'username': 'shubhamwalhekar'} 
{'pid': 700, 'name': 'oahd', 'username': '_oahd'} 
{'pid': 706, 'name': 'familycircled', 'username': 'shubhamwalhekar'} 
{'pid': 708, 'name': 'useractivityd', 'username': 'shubhamwalhekar'} 
{'pid': 709, 'name': 'com.apple.dock.extra', 'username': 'shubhamwalhekar'} 
{'pid': 711, 'name': 'imagent', 'username': 'shubhamwalhekar'} 
{'pid': 725, 'name': 'imklaunchagent', 'username': 'shubhamwalhekar'} 
{'pid': 728, 'name': 'StatusKitAgent', 'username': 'shubhamwalhekar'} 
{'pid': 734, 'name': 'fairplayd', 'username': '_fpsd'} 
{'pid': 741, 'name': 'PAH_Extension', 'username': 'shubhamwalhekar'} 
{'pid': 754, 'name': 'mediaremoteagent', 'username': 'shubhamwalhekar'} 
{'pid': 758, 'name': 'avconferenced', 'username': 'shubhamwalhekar'} 
{'pid': 761, 'name': 'SubmitDiagInfo', 'username': 'root'} 
{'pid': 769, 'name': 'iTermServer-3.4.23', 'username': 'shubhamwalhekar'} 
{'pid': 774, 'name': 'chrome_crashpad_handler', 'username': 'shubhamwalhekar'} 
{'pid': 827, 'name': 'distnoted', 'username': '_accessoryupdater'} 
{'pid': 833, 'name': 'distnoted', 'username': '_gamecontrollerd'} 
{'pid': 835, 'name': 'aned', 'username': 'root'} 
{'pid': 836, 'name': 'Code Helper (GPU)', 'username': 'shubhamwalhekar'} 
{'pid': 837, 'name': 'Code Helper', 'username': 'shubhamwalhekar'} 
{'pid': 838, 'name': 'CVMServer', 'username': 'root'} 
{'pid': 839, 'name': 'Code Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 853, 'name': 'distnoted', 'username': '_applepay'} 
{'pid': 857, 'name': 'Code Helper', 'username': 'shubhamwalhekar'} 
{'pid': 859, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 864, 'name': 'Code Helper', 'username': 'shubhamwalhekar'} 
{'pid': 867, 'name': 'Code Helper', 'username': 'shubhamwalhekar'} 
{'pid': 873, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 874, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 876, 'name': 'chrome_crashpad_handler', 'username': 'shubhamwalhekar'} 
{'pid': 887, 'name': 'Google Chrome Helper (GPU)', 'username': 'shubhamwalhekar'} 
{'pid': 888, 'name': 'Google Chrome Helper', 'username': 'shubhamwalhekar'} 
{'pid': 904, 'name': 'Google Chrome Helper', 'username': 'shubhamwalhekar'} 
{'pid': 906, 'name': 'corespeechd', 'username': 'shubhamwalhekar'} 
{'pid': 913, 'name': 'icdd', 'username': 'shubhamwalhekar'} 
{'pid': 916, 'name': 'php-fpm', 'username': 'shubhamwalhekar'} 
{'pid': 917, 'name': 'AirPlayUIAgent', 'username': 'shubhamwalhekar'} 
{'pid': 920, 'name': 'diagnostics_agent', 'username': 'shubhamwalhekar'} 
{'pid': 922, 'name': 'TextInputMenuAgent', 'username': 'shubhamwalhekar'} 
{'pid': 925, 'name': 'ctkahp', 'username': 'root'} 
{'pid': 932, 'name': 'Loom', 'username': 'shubhamwalhekar'} 
{'pid': 933, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 934, 'name': 'ctkahp', 'username': 'shubhamwalhekar'} 
{'pid': 961, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 965, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 970, 'name': 'chrome_crashpad_handler', 'username': 'shubhamwalhekar'} 
{'pid': 976, 'name': 'Loom Helper (GPU)', 'username': 'shubhamwalhekar'} 
{'pid': 985, 'name': 'Loom Helper', 'username': 'shubhamwalhekar'} 
{'pid': 992, 'name': 'loom-recorder-production', 'username': 'shubhamwalhekar'} 
{'pid': 994, 'name': 'loom_crashpad_handler', 'username': 'shubhamwalhekar'} 
{'pid': 1000, 'name': 'Loom Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 1010, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 1017, 'name': 'Loom Helper', 'username': 'shubhamwalhekar'} 
{'pid': 1020, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 1088, 'name': 'mdbulkimport', 'username': 'shubhamwalhekar'} 
{'pid': 1094, 'name': 'zsh', 'username': 'shubhamwalhekar'} 
{'pid': 1124, 'name': 'TabNine-deep-local', 'username': 'shubhamwalhekar'} 
{'pid': 1136, 'name': 'TabNine', 'username': 'shubhamwalhekar'} 
{'pid': 1159, 'name': 'php-fpm', 'username': 'shubhamwalhekar'} 
{'pid': 1160, 'name': 'php-fpm', 'username': 'shubhamwalhekar'} 
{'pid': 1173, 'name': 'TabNine', 'username': 'shubhamwalhekar'} 
{'pid': 1191, 'name': 'UserNotificationCenter', 'username': 'shubhamwalhekar'} 
